IntensityIn IntensityOut Luminance
1.458152132448310156e-01 2.862745098039215508e-01 3.495666666666667055e+01
1.481193255512321671e-01 2.901960784313725172e-01 3.603000000000000114e+01
1.527275501640344979e-01 2.941176470588235392e-01 3.666666666666666430e+01
1.554436560616464513e-01 2.980392156862745057e-01 3.735666666666666913e+01
1.584039063096055466e-01 3.019607843137254721e-01 3.830000000000000426e+01
1.624322880903334154e-01 3.058823529411764941e-01 3.907000000000000028e+01
1.657282368200198308e-01 3.098039215686274606e-01 3.999666666666666970e+01
1.696955825131609141e-01 3.137254901960784270e-01 4.082666666666666799e+01
1.732509346150911678e-01 3.176470588235293935e-01 4.155000000000000426e+01
1.763485160601205581e-01 3.215686274509803599e-01 4.241333333333333400e+01
1.800411993591210791e-01 3.254901960784313819e-01 4.368666666666666742e+01
1.854886701762417101e-01 3.294117647058823484e-01 4.404333333333332945e+01
1.870298313878080432e-01 3.333333333333333148e-01 4.495333333333332604e+01
1.909208819714656169e-01 3.372549019607843368e-01 4.578333333333333854e+01
1.944762340733958983e-01 3.411764705882353033e-01 4.670666666666667055e+01
1.984283207446402575e-01 3.450980392156862697e-01 4.778666666666666885e+01
2.030518043793392846e-01 3.490196078431372362e-01 4.856666666666666288e+01
2.063782711528190927e-01 3.529411764705882026e-01 4.930666666666667197e+01
2.095521477073319649e-01 3.568627450980392246e-01 5.036000000000000654e+01
2.140688181887540897e-01 3.607843137254901911e-01 5.134666666666667112e+01
2.182803082322423149e-01 3.647058823529411575e-01 5.217666666666666941e+01
2.218356603341725686e-01 3.686274509803921795e-01 5.303000000000000114e+01
2.254978255893797245e-01 3.725490196078431460e-01 5.390999999999999659e+01
2.292515449759670310e-01 3.764705882352941124e-01 5.481999999999999318e+01
2.331578545815213288e-01 3.803921568627450789e-01 5.640666666666666629e+01
2.399481193255512401e-01 3.843137254901960453e-01 5.721000000000000085e+01
2.433813992523079228e-01 3.882352941176470673e-01 5.785999999999999233e+01
2.461585412375066895e-01 3.921568627450980338e-01 5.889000000000000767e+01
2.505683985656519397e-01 3.960784313725490002e-01 6.035666666666666202e+01
