IntensityIn IntensityOut Luminance
5.538261997405966586e-01 7.137254901960784492e-01 1.357333333333333201e+02
5.586327916380560143e-01 7.176470588235294157e-01 1.366333333333333258e+02
5.623407339589532317e-01 7.215686274509803821e-01 1.380999999999999943e+02
5.683833066300449932e-01 7.254901960784313486e-01 1.391666666666666572e+02
5.727931639581902434e-01 7.294117647058823151e-01 1.413666666666666742e+02
5.818570229648279968e-01 7.333333333333332815e-01 1.421333333333333258e+02
5.850156404974441449e-01 7.372549019607843590e-01 1.436333333333333258e+02
5.911955443656061737e-01 7.411764705882353255e-01 1.450000000000000000e+02
5.968413824673838297e-01 7.450980392156862919e-01 1.461999999999999886e+02
6.017853055619134528e-01 7.490196078431372584e-01 1.479000000000000057e+02
6.087891966124970855e-01 7.529411764705882248e-01 1.501999999999999886e+02
6.182650492103456408e-01 7.568627450980391913e-01 1.514666666666666686e+02
6.234988937209124948e-01 7.607843137254901578e-01 1.532666666666666799e+02
6.309147783627069295e-01 7.647058823529411242e-01 1.545999999999999943e+02
6.364080262455176218e-01 7.686274509803920907e-01 1.556999999999999886e+02
6.409399557488365540e-01 7.725490196078431682e-01 1.573000000000000114e+02
6.475471122301060811e-01 7.764705882352941346e-01 1.594000000000000057e+02
6.561989776455329215e-01 7.803921568627451011e-01 1.605666666666666629e+02
6.610055695429922773e-01 7.843137254901960675e-01 1.621666666666666572e+02
6.675974670023651081e-01 7.882352941176470340e-01 1.638333333333333428e+02
6.744792858777752809e-01 7.921568627450980005e-01 1.655666666666666913e+02
6.816205081254291809e-01 7.960784313725489669e-01 1.674666666666666686e+02
6.894483863584344174e-01 8.000000000000000444e-01 1.689000000000000057e+02
6.953536278324559117e-01 8.039215686274510109e-01 1.705666666666666629e+02
7.022354467078659734e-01 8.078431372549019773e-01 1.725999999999999943e+02
7.106126497291523902e-01 8.117647058823529438e-01 1.734666666666666686e+02
7.141832608529793402e-01 8.156862745098039102e-01 1.751999999999999602e+02
7.213397421225299366e-01 8.196078431372548767e-01 1.770000000000000000e+02
7.287556267643243713e-01 8.235294117647058432e-01 1.791999999999999602e+02
7.378194857709621246e-01 8.274509803921568096e-01 1.803666666666666742e+02
7.426260776684214804e-01 8.313725490196077761e-01 1.814666666666666686e+02
